,Drug,District,X_Coordinate,Y_Coordinate,Year,Latitude,Longitude
291,Crack,9,1170533.0,1870174.0,2004,41.7992405,-87.65014261
292,Crack,9,1175638.0,1876714.0,2003,41.81707401,-87.63122548
293,Heroin,12,1167904.0,1894367.0,2010,41.86568541,-87.65908741
294,Heroin,15,1143545.0,1899209.0,2002,41.87946265,-87.74839024
295,Cannabis,4,1190233.0,1853270.0,2008,41.75240225,-87.578443
296,Cannabis,15,1144226.0,1898895.0,2008,41.87858823,-87.74589757
297,Cannabis,11,1150745.0,1894431.0,2006,41.86621358,-87.72207766
298,Cannabis,4,1196429.0,1819736.0,2004,41.66023031,-87.55684583
299,Cannabis,9,1163773.0,1883772.0,2009,41.83669973,-87.6745509
300,Cannabis,25,1137090.0,1908883.0,2003,41.90612762,-87.77185991
301,Crack,3,1180686.0,1862399.0,2004,41.77767771,-87.6131482
302,Cannabis,9,1158335.0,1878579.0,2008,41.82256223,-87.69464678
303,Crack,11,1150081.0,1898395.0,2007,41.87710419,-87.72441205
304,Heroin,11,,,2002,,
305,Crack,14,,,2006,,
306,Cannabis,4,1192626.0,1854354.0,2011,41.75531889,-87.56963858
307,Cannabis,8,1161188.0,1858992.0,2001,41.76875428,-87.68472245
308,Cannabis,15,1144383.0,1898242.0,2008,41.87679337,-87.74533752
309,Heroin,11,1157198.0,1894938.0,2014,41.86747631,-87.69837427
310,Heroin,11,1157469.0,1899560.0,2005,41.88015403,-87.69725364
311,Cannabis,7,1165696.0,1865341.0,2003,41.78608229,-87.66801824
312,Heroin,11,1144551.0,1904216.0,2003,41.89318357,-87.74457018
313,Heroin,2,1179312.0,1873894.0,2001,41.80925253,-87.61783453
314,Heroin,12,1157557.0,1905979.0,2005,41.89776657,-87.69675566
315,Cannabis,14,1153278.0,1910423.0,2010,41.91004736,-87.71235389
316,Heroin,2,1176316.0,1886532.0,2002,41.84400018,-87.6284429
317,Crack,11,1150577.0,1896455.0,2001,41.87177095,-87.72264155
318,Cannabis,8,1150550.0,1870937.0,2015,41.80174675,-87.72340593
319,Heroin,10,1152590.0,1893393.0,2008,41.86332894,-87.71533189
320,Cannabis,7,1172495.0,1860217.0,2008,41.77187437,-87.64324057
321,Cannabis,9,1166079.0,1875368.0,2005,41.81358942,-87.6663287
322,Cannabis,4,1196279.0,1850156.0,2003,41.7437095,-87.55639049
323,Cannabis,24,1163190.0,1949191.0,2003,42.0162258,-87.6748467
324,Crack,11,1153473.0,1901460.0,2004,41.88544816,-87.71187604
325,Cannabis,3,1183633.0,1862110.0,2010,41.77681644,-87.60235358
326,Cannabis,12,1161722.0,1900974.0,2004,41.88394661,-87.68159768
327,Heroin,11,1149721.0,1901477.0,2001,41.88556854,-87.72565375
328,Cannabis,8,1161126.0,1862647.0,2009,41.7787854,-87.68484869
329,Heroin,11,1150065.0,1907054.0,2009,41.90086572,-87.72424512
330,Cannabis,8,1158117.0,1863203.0,2003,41.78037288,-87.69586488
331,Crack,11,1147614.0,1898004.0,2004,41.87607892,-87.73348027
332,Cannabis,3,1178397.0,1857805.0,2012,41.76512359,-87.621679
333,Cannabis,24,1163887.0,1950346.0,2009,42.0193804,-87.67224913
334,Cannabis,12,1154949.0,1903386.0,2011,41.89070383,-87.70640419
335,Cannabis,11,1147614.0,1900625.0,2005,41.88327124,-87.733413
336,Heroin,11,1153576.0,1904803.0,2014,41.89461964,-87.71140882
337,Heroin,15,1139096.0,1894123.0,2010,41.86558803,-87.76485019
338,Heroin,12,1154990.0,1901949.0,2002,41.88675974,-87.70629218
339,Heroin,10,1151467.0,1893579.0,2015,41.86386145,-87.71944948
340,Crack,3,1182703.0,1861138.0,2004,41.77417082,-87.60579304
341,Crack,11,1156862.0,1897226.0,2002,41.87376163,-87.69954577
342,Cannabis,24,1163653.0,1940897.0,2015,41.99345708,-87.67337826
343,Crack,3,1180668.0,1863088.0,2008,41.77956881,-87.61319304
344,Crack,17,1151570.0,1929935.0,2007,41.96362362,-87.71811403
345,Cannabis,6,1176265.0,1854551.0,2009,41.75624238,-87.62959094
346,Heroin,11,1149926.0,1904552.0,2006,41.89400268,-87.72482086
347,Cannabis,8,1154788.0,1863545.0,2007,41.78137846,-87.70806055
348,Cannabis,5,1173439.0,1823300.0,2007,41.67054808,-87.64086867
349,Cocaine,9,1175739.0,1881773.0,2005,41.83095408,-87.63070323
350,Crack,15,1140669.0,1901155.0,2002,41.88485602,-87.75890278
351,Crack,14,1158138.0,1910038.0,2006,41.90889295,-87.69451068
352,Crack,25,1147503.0,1916280.0,2005,41.92623231,-87.73341858
353,Cannabis,6,1168169.0,1852363.0,2011,41.75041611,-87.65932388
354,Crack,10,1154578.0,1893575.0,2006,41.86378886,-87.7080292
355,Cannabis,5,1178994.0,1836903.0,2003,41.70775239,-87.62012571
356,Cannabis,2,1177106.0,1867219.0,2014,41.79098581,-87.6261271
357,Cannabis,19,1167798.0,1930700.0,2013,41.96538757,-87.65842693
358,Cannabis,25,1137919.0,1914049.0,2002,41.9202888,-87.7686897
359,Cannabis,20,1157922.0,1939387.0,2009,41.98943284,-87.69450056
360,Heroin,11,1146811.0,1896171.0,2002,41.87106431,-87.73647544
361,Cocaine,8,1160815.0,1858821.0,2010,41.76829275,-87.6860944
362,Crack,3,1188180.0,1857086.0,2004,41.76292289,-87.58584475
363,Crack,25,1136803.0,1911484.0,2002,41.91327023,-87.77285175
364,Heroin,5,1176189.0,1841940.0,2006,41.72163791,-87.63024704
365,Cannabis,7,1166931.0,1856889.0,2003,41.7628626,-87.6637314
366,Crack,5,1178446.0,1837023.0,2002,41.70809412,-87.62212886
367,Cannabis,16,1143669.0,1925570.0,2007,41.95179768,-87.74727349
368,Cannabis,25,1151496.0,1907915.0,2002,41.90320039,-87.71896627
369,Heroin,11,1144993.0,1896611.0,2005,41.87230622,-87.74313894
370,Crack,5,1178418.0,1835799.0,2008,41.70473593,-87.62226841
371,Cannabis,11,1144487.0,1896833.0,2009,41.87292494,-87.74499112
372,Cannabis,8,1161013.0,1862810.0,2012,41.77923503,-87.68525845
373,Cocaine,8,1146280.0,1846860.0,2007,41.73575741,-87.73967537
374,Crack,2,1176406.0,1885545.0,2003,41.84128975,-87.62814236
375,Heroin,6,1176551.0,1844413.0,2004,41.72841602,-87.62884697
376,Cocaine,9,1165497.0,1872529.0,2002,41.80581125,-87.66854407
377,Cannabis,15,1138922.0,1899461.0,2012,41.88023938,-87.7653593
378,Heroin,15,1143289.0,1898790.0,2006,41.87831765,-87.74934071
379,Cocaine,10,1157506.0,1889255.0,2008,41.8518753,-87.69739808
380,Cannabis,10,,,2016,,
381,Heroin,2,1181045.0,1874175.0,2002,41.80998385,-87.61146961
382,Heroin,15,1142776.0,1905518.0,2004,41.89678965,-87.75105673
383,Cannabis,9,1160380.0,1877093.0,2008,41.81844251,-87.6871855
384,Cannabis,16,1134733.0,1928612.0,2014,41.96030822,-87.7800505
385,Heroin,11,1151107.0,1905077.0,2015,41.89542027,-87.72046962
386,Cannabis,25,1151579.0,1918018.0,2005,41.9309223,-87.71839529
387,Heroin,11,1154519.0,1907799.0,2009,41.90282213,-87.70786522
388,Crack,15,1144342.0,1898237.0,2014,41.87678042,-87.74548819
389,Crack,18,1171577.0,1908244.0,2007,41.90368486,-87.64519522
390,Crack,10,1151588.0,1892167.0,2001,41.85998438,-87.71904238
391,Cannabis,7,1167165.0,1860030.0,2011,41.77147691,-87.662784
392,Cannabis,14,1165456.0,1909950.0,2007,41.90849877,-87.66763034
393,Heroin,15,1143985.0,1902891.0,2006,41.88955826,-87.74668218
394,Cannabis,6,1183609.0,1852555.0,2007,41.75059714,-87.60273908
395,Cannabis,15,1142764.0,1899191.0,2014,41.87942783,-87.75125843
396,Cannabis,24,1162608.0,1949798.0,2002,42.01790369,-87.67697115
397,Cannabis,11,1152930.0,1896804.0,2013,41.87268238,-87.71399343
398,Crack,7,1174117.0,1859984.0,2014,41.77119912,-87.63730176
399,Cannabis,8,1161870.0,1861130.0,2002,41.77460712,-87.68216322
400,Cocaine,25,1147562.0,1918520.0,2006,41.93237794,-87.73314416
401,Cannabis,3,1181068.0,1860545.0,2011,41.77258137,-87.61180482
402,Cannabis,6,1183938.0,1852623.0,2007,41.75077607,-87.60153136
403,Crack,20,1168494.0,1932957.0,2006,41.97156577,-87.65580228
404,Crack,7,1164653.0,1860236.0,2006,41.77209558,-87.67198636
405,Heroin,7,1174527.0,1867887.0,2002,41.7928767,-87.63556377
406,Cannabis,10,1148828.0,1885511.0,2002,41.84177322,-87.72934553
407,Crack,2,1176244.0,1881289.0,2002,41.82961459,-87.62886493
408,Cannabis,25,1140834.0,1919109.0,2008,41.9341208,-87.75785452
409,Cannabis,24,1164844.0,1945260.0,2002,42.00540399,-87.66887276
410,Heroin,12,1166036.0,1894466.0,2011,41.86599713,-87.6659421
411,Cannabis,4,1201202.0,1833692.0,2014,41.69840761,-87.53890934
412,Crack,5,1178063.0,1836924.0,2003,41.70783112,-87.62353441
413,Cannabis,12,1162911.0,1890770.0,2001,41.85592105,-87.67751782
414,Cannabis,3,1179532.0,1855351.0,2012,41.75836371,-87.61759376
415,Cannabis,15,1143352.0,1900684.0,2009,41.88351384,-87.74906204
416,Cannabis,5,1177978.0,1834020.0,2011,41.69986407,-87.62393328
417,Heroin,25,1150151.0,1908115.0,2005,41.90377554,-87.72390155
418,Cannabis,11,1153223.0,1905475.0,2008,41.89647068,-87.71268744
419,Heroin,11,1157561.0,1895913.0,2007,41.87014443,-87.6970151
420,Crack,3,1179660.0,1863316.0,2004,41.78021757,-87.61688149
421,Heroin,3,1187519.0,1860867.0,2012,41.77331402,-87.58814733
422,Heroin,15,1143556.0,1905957.0,2001,41.89797975,-87.74818088
423,Crack,24,1164144.0,1948718.0,2002,42.01490769,-87.67134973
424,Cannabis,5,1176913.0,1821114.0,2009,41.66447204,-87.62821961
425,Crack,11,1149574.0,1905214.0,2005,41.89582612,-87.72609645
426,Cannabis,22,1173999.0,1840986.0,2010,41.7190688,-87.6382968
427,Crack,8,1150923.0,1857416.0,2017,41.76463574,-87.7223903
428,Crack,15,1139856.0,1903022.0,2004,41.8899942,-87.76184262
429,Cannabis,14,1154068.0,1909000.0,2001,41.90612679,-87.70948975
430,Cannabis,24,1163829.0,1951001.0,2013,42.02117896,-87.67244395
431,Heroin,15,1139636.0,1907460.0,2002,41.90217663,-87.76254214
432,Crack,2,1180510.0,1878106.0,2008,41.82078314,-87.61331108
433,Crack,5,1175482.0,1824510.0,2007,41.67382322,-87.6333555
434,Cannabis,19,1166920.0,1931342.0,2012,41.96716817,-87.66163662
435,Cannabis,3,1179093.0,1864384.0,2010,41.78316121,-87.61892765
436,Crack,15,1142189.0,1905682.0,2002,41.8972506,-87.75320864
437,Crack,12,1166249.0,1894140.0,2006,41.86509801,-87.66516947
438,Cannabis,15,1144321.0,1897907.0,2008,41.87587525,-87.74557359
439,Cannabis,15,1139627.0,1898455.0,2009,41.87746595,-87.76279513
440,Crack,11,1159624.0,1898084.0,2002,41.87605965,-87.68938138
441,Hallucinogens,22,1174517.0,1831281.0,2007,41.69242537,-87.6366871
442,Cannabis,5,1177281.0,1831016.0,2007,41.69163638,-87.62657565
443,Cannabis,11,1153508.0,1899806.0,2005,41.88090872,-87.7117915
444,Cannabis,25,1148157.0,1907791.0,2005,41.90292509,-87.7312344
445,Cannabis,15,1141335.0,1901186.0,2010,41.88492883,-87.75645633
446,Heroin,9,1174160.0,1879073.0,2003,41.82358034,-87.63657697
447,Crack,2,1176902.0,1878332.0,2001,41.82148551,-87.62654001
448,Cannabis,10,1152880.0,1894479.0,2004,41.86630331,-87.71423857
449,Cannabis,15,1143222.0,1903538.0,2012,41.89134798,-87.74946811
450,Crack,15,1143383.0,1896016.0,2004,41.87070369,-87.74906489
451,Cannabis,11,1153785.0,1905130.0,2009,41.8955128,-87.71063251
452,Crack,19,1167870.0,1931093.0,2013,41.96646442,-87.65815082
453,Heroin,11,1146066.0,1895971.0,2003,41.87052966,-87.73921571
454,Cannabis,25,1135814.0,1915320.0,2002,41.92381434,-87.77639366
455,Hallucinogens,7,1170917.0,1856112.0,2012,41.76064434,-87.6491447
456,Crack,19,1170210.0,1926551.0,2006,41.9539501,-87.64968031
457,Cannabis,25,1140275.0,1907473.0,2013,41.90220061,-87.76019465
458,Crack,7,1171796.0,1860257.0,2008,41.7719995,-87.6458017
459,Cannabis,25,1142105.0,1909189.0,2005,41.90687576,-87.75343009
460,Crack,4,1187182.0,1855250.0,2009,41.75790848,-87.58956072
461,Heroin,7,1172571.0,1856206.0,2005,41.76086603,-87.64307997
462,Cannabis,6,1169735.0,1850913.0,2010,41.74640331,-87.65362731
463,Heroin,11,1149044.0,1900346.0,2010,41.88247808,-87.72816913
464,Heroin,10,1149305.0,1892081.0,2013,41.85979291,-87.72742495
465,Crack,25,1149436.0,1911563.0,2016,41.91325109,-87.72643832
466,Cannabis,4,1196548.0,1852950.0,2009,41.75136977,-87.5553123
467,Cannabis,10,1149952.0,1892744.0,2016,41.86159971,-87.72503274
468,Cannabis,25,1141936.0,1910153.0,2013,41.90952422,-87.75402699
469,Heroin,25,1136840.0,1910376.0,2008,41.91022908,-87.77274242
470,Cannabis,5,1178795.0,1830942.0,2005,41.69139909,-87.62103499
471,Cannabis,25,1149097.0,1910028.0,2013,41.90904548,-87.72772356
472,Crack,10,1151628.0,1892182.0,2005,41.86002476,-87.71889516
473,Cannabis,14,1159624.0,1918527.0,2012,41.93215689,-87.68881743
474,Cannabis,24,1164516.0,1946316.0,2008,42.00830865,-87.6700494
475,Cannabis,10,1150123.0,1894416.0,2006,41.86618454,-87.72436148
476,Cannabis,9,1171236.0,1885625.0,2010,41.84162419,-87.64711201
477,Cannabis,15,1142029.0,1899173.0,2016,41.87939208,-87.75395772
478,Crack,11,1150887.0,1898415.0,2003,41.87714335,-87.7214521
479,Crack,7,1167071.0,1863379.0,2011,41.78066901,-87.66303289
480,Cannabis,7,1173992.0,1865031.0,2011,41.78505143,-87.63761029
481,Cocaine,14,1159145.0,1909441.0,2004,41.9072341,-87.69082786
482,Cannabis,11,1150441.0,1898273.0,2013,41.8767624,-87.72309341
483,Crack,12,1157252.0,1900552.0,2002,41.88288059,-87.69802348
484,Crack,6,1164804.0,1849454.0,2011,41.74250506,-87.67173679
485,Cannabis,7,1167236.0,1856981.0,2008,41.76310854,-87.6626109
486,Cannabis,2,1178086.0,1873899.0,2008,41.80929417,-87.62233108
487,Cannabis,9,1166176.0,1871896.0,2005,41.80405979,-87.66607177
488,Hallucinogens,25,1142014.0,1909493.0,2015,41.90771166,-87.75375683
489,Cannabis,5,1178722.0,1826074.0,2010,41.67804224,-87.62144952
490,Cannabis,6,1183980.0,1851187.0,2007,41.74683455,-87.60142222
491,Heroin,7,1164118.0,1862520.0,2002,41.77837446,-87.67388331
492,Cannabis,7,1172261.0,1867550.0,2015,41.7920021,-87.64388281
493,Cannabis,10,1151904.0,1894136.0,2003,41.86538134,-87.7178306
494,Crack,24,1163657.0,1951198.0,2012,42.02172317,-87.67307131
495,Heroin,15,1140650.0,1901724.0,2005,41.88641778,-87.75895857
496,Crack,25,1142313.0,1918147.0,2012,41.9314536,-87.75244311
497,Heroin,15,1143297.0,1903539.0,2004,41.89134933,-87.74919264
498,Crack,25,1151626.0,1913041.0,2003,41.91726405,-87.71835375
499,Crack,15,1141884.0,1906136.0,2001,41.89850208,-87.75431762
500,Crack,3,1186951.0,1861527.0,2003,41.7751386,-87.59020855
501,Cannabis,1,1176462.0,1901748.0,2003,41.88575057,-87.62744798
502,Crack,11,1159624.0,1898084.0,2003,41.87605965,-87.68938138
503,Cannabis,2,1176924.0,1868188.0,2008,41.79364895,-87.62676524
504,Cannabis,6,1177949.0,1842478.0,2010,41.72307462,-87.62378426
505,Heroin,11,1156889.0,1899881.0,2010,41.88104666,-87.69937463
506,Cannabis,24,1165388.0,1951152.0,2004,42.02156013,-87.66670254
507,Crack,10,1152973.0,1891617.0,2006,41.85844782,-87.71397295
508,Cannabis,11,1151710.0,1907749.0,2013,41.90274066,-87.71818457
509,Crack,19,1168133.0,1931076.0,2006,41.96641208,-87.65718431
510,Cannabis,7,1172916.0,1859627.0,2005,41.77024606,-87.64171471
511,Heroin,11,1149364.0,1900767.0,2012,41.88362716,-87.72698315
512,Crack,7,1167719.0,1864012.0,2015,41.78239215,-87.66063904
513,Crack,11,1150294.0,1903276.0,2013,41.89049404,-87.72350261
