Drug,District,X Coordinate,Y Coordinate,Year,Latitude,Longitude,Location
Cannabis,22,1172989,1830415,2010,41.6900827,-87.64230678,"(41.690083, -87.642307)"
Cannabis,4,1196633,1848989,2008,41.74049838,-87.5551321,"(41.740498, -87.555132)"
Cannabis,15,1141611,1902851,2009,41.8894927,-87.75540162,"(41.889493, -87.755402)"
Cannabis,9,1175173,1870275,2008,41.7994152,-87.63312366,"(41.799415, -87.633124)"
Cannabis,2,1187212,1868840,2009,41.79519986,-87.5890197,"(41.7952, -87.58902)"
Heroin,11,1156167,1899645,2011,41.88041366,-87.70203215,"(41.880414, -87.702032)"
Heroin,11,1152913,1904762,2005,41.89452029,-87.71384493,"(41.89452, -87.713845)"
Heroin,15,1144321,1897907,2010,41.87587525,-87.74557359,"(41.875875, -87.745574)"
Cannabis,3,1179954,1865151,2011,41.78524626,-87.61574751,"(41.785246, -87.615748)"
Cannabis,8,1158837,1861168,2010,41.77477387,-87.69328075,"(41.774774, -87.693281)"
Heroin,15,1141383,1902646,2003,41.88893437,-87.756244,"(41.888934, -87.756244)"
Crack,10,1154223,1894344,2004,41.86590617,-87.70931187,"(41.865906, -87.709312)"
Cannabis,22,1172749,1838303,2010,41.71173386,-87.64295394,"(41.711734, -87.642954)"
Cannabis,11,1152073,1907615,2002,41.9023658,-87.71685473,"(41.902366, -87.716855)"
Cannabis,11,1150483,1894425,2011,41.86620223,-87.72303965,"(41.866202, -87.72304)"
Cocaine,9,1156460,1874476,2016,41.81134111,-87.70163607,"(41.811341, -87.701636)"
Cannabis,5,,,2002,,,
Cannabis,19,1171129,1932268,2005,41.96961755,-87.64613344,"(41.969618, -87.646133)"
Cocaine,10,1157108,1887260,2007,41.84640887,-87.69891295,"(41.846409, -87.698913)"
Heroin,11,1148177,1901118,2002,41.88461327,-87.73133291,"(41.884613, -87.731333)"
Cannabis,25,1141008,1910131,2008,41.909481,-87.75743665,"(41.909481, -87.757437)"
Cannabis,19,1171210,1927608,2007,41.9568286,-87.64597306,"(41.956829, -87.645973)"
Heroin,7,1174223,1867619,2008,41.79214805,-87.63668646,"(41.792148, -87.636686)"
Cannabis,24,1164306,1946138,2002,42.00782468,-87.67082711,"(42.007825, -87.670827)"
Cannabis,5,1185279,1818451,2014,41.65697248,-87.59768703,"(41.656972, -87.597687)"
Cannabis,10,1147298,1889007,2016,41.85139609,-87.7348708,"(41.851396, -87.734871)"
Cannabis,5,1181505,1817649,2011,41.65485923,-87.61152113,"(41.654859, -87.611521)"
Heroin,8,1161739,1852605,2008,41.751216,-87.68287976,"(41.751216, -87.68288)"
Cannabis,6,1177483,1852629,2008,41.75094076,-87.62518522,"(41.750941, -87.625185)"
Cannabis,17,1155376,1921119,2012,41.93935609,-87.70435843,"(41.939356, -87.704358)"
Crack,3,1179567,1863737,2004,41.78137496,-87.61720958,"(41.781375, -87.61721)"
Cannabis,4,1197125,1853151,2010,41.751907,-87.55319125,"(41.751907, -87.553191)"
Crack,11,1150187,1903721,2004,41.89171725,-87.72388396,"(41.891717, -87.723884)"
Crack,22,1173499,1846947,2006,41.73543766,-87.63995227,"(41.735438, -87.639952)"
Crack,11,1152668,1905773,2011,41.89729942,-87.71471798,"(41.897299, -87.714718)"
Cannabis,8,1147718,1864887,2014,41.78519927,-87.73394681,"(41.785199, -87.733947)"
Cannabis,16,1133719,1929242,2013,41.96205491,-87.78376367,"(41.962055, -87.783764)"
Cannabis,9,1162252,1881755,2006,41.83119673,-87.68018832,"(41.831197, -87.680188)"
Heroin,6,1176942,1842324,2002,41.72267474,-87.62747741,"(41.722675, -87.627477)"
Cannabis,8,1150780,1862712,2015,41.77917161,-87.72277664,"(41.779172, -87.722777)"
Crack,7,1164903,1858013,2012,41.76599009,-87.67113267,"(41.76599, -87.671133)"
Cannabis,6,1183053,1852803,2008,41.75129062,-87.60476881,"(41.751291, -87.604769)"
Crack,20,1168713,1934093,2002,41.97467824,-87.65496392,"(41.974678, -87.654964)"
Cocaine,12,1156542,1902303,2001,41.88769989,-87.70058322,"(41.8877, -87.700583)"
Crack,14,1164242,1909909,2001,41.90841203,-87.67209113,"(41.908412, -87.672091)"
Cannabis,6,1177744,1849756,2007,41.743051,-87.62431555,"(41.743051, -87.624316)"
Heroin,15,1142186,1905811,2006,41.89760464,-87.75321645,"(41.897605, -87.753216)"
