Drug,District,X Coordinate,Y Coordinate,Year,Latitude,Longitude
Crack,3,1180686,1862399,2004,41.77767771,-87.6131482
Cannabis,9,1158335,1878579,2008,41.82256223,-87.69464678
Crack,11,1150081,1898395,2007,41.87710419,-87.72441205
Heroin,11,,,2002,,
Crack,14,,,2006,,
Cannabis,4,1192626,1854354,2011,41.75531889,-87.56963858
Cannabis,8,1161188,1858992,2001,41.76875428,-87.68472245
Cannabis,15,1144383,1898242,2008,41.87679337,-87.74533752
Heroin,11,1157198,1894938,2014,41.86747631,-87.69837427
Heroin,11,1157469,1899560,2005,41.88015403,-87.69725364
Cannabis,7,1165696,1865341,2003,41.78608229,-87.66801824
Heroin,11,1144551,1904216,2003,41.89318357,-87.74457018
Heroin,2,1179312,1873894,2001,41.80925253,-87.61783453
Heroin,12,1157557,1905979,2005,41.89776657,-87.69675566
Cannabis,14,1153278,1910423,2010,41.91004736,-87.71235389
Heroin,2,1176316,1886532,2002,41.84400018,-87.6284429
Crack,11,1150577,1896455,2001,41.87177095,-87.72264155
Cannabis,8,1150550,1870937,2015,41.80174675,-87.72340593
Heroin,10,1152590,1893393,2008,41.86332894,-87.71533189
Cannabis,7,1172495,1860217,2008,41.77187437,-87.64324057
Cannabis,9,1166079,1875368,2005,41.81358942,-87.6663287
Cannabis,4,1196279,1850156,2003,41.7437095,-87.55639049
Cannabis,24,1163190,1949191,2003,42.0162258,-87.6748467
Crack,11,1153473,1901460,2004,41.88544816,-87.71187604
Cannabis,3,1183633,1862110,2010,41.77681644,-87.60235358
Cannabis,12,1161722,1900974,2004,41.88394661,-87.68159768
Heroin,11,1149721,1901477,2001,41.88556854,-87.72565375
Cannabis,8,1161126,1862647,2009,41.7787854,-87.68484869
Heroin,11,1150065,1907054,2009,41.90086572,-87.72424512
Cannabis,8,1158117,1863203,2003,41.78037288,-87.69586488
Crack,11,1147614,1898004,2004,41.87607892,-87.73348027
Cannabis,3,1178397,1857805,2012,41.76512359,-87.621679
Cannabis,24,1163887,1950346,2009,42.0193804,-87.67224913
Cannabis,12,1154949,1903386,2011,41.89070383,-87.70640419
Cannabis,11,1147614,1900625,2005,41.88327124,-87.733413
Heroin,11,1153576,1904803,2014,41.89461964,-87.71140882
Heroin,15,1139096,1894123,2010,41.86558803,-87.76485019
Heroin,12,1154990,1901949,2002,41.88675974,-87.70629218
Heroin,10,1151467,1893579,2015,41.86386145,-87.71944948
Crack,3,1182703,1861138,2004,41.77417082,-87.60579304
Crack,11,1156862,1897226,2002,41.87376163,-87.69954577
Cannabis,24,1163653,1940897,2015,41.99345708,-87.67337826
Crack,3,1180668,1863088,2008,41.77956881,-87.61319304
Crack,17,1151570,1929935,2007,41.96362362,-87.71811403
Cannabis,6,1176265,1854551,2009,41.75624238,-87.62959094
Heroin,11,1149926,1904552,2006,41.89400268,-87.72482086
Cannabis,8,1154788,1863545,2007,41.78137846,-87.70806055
Cannabis,5,1173439,1823300,2007,41.67054808,-87.64086867
Cocaine,9,1175739,1881773,2005,41.83095408,-87.63070323
Crack,15,1140669,1901155,2002,41.88485602,-87.75890278
Crack,14,1158138,1910038,2006,41.90889295,-87.69451068
Crack,25,1147503,1916280,2005,41.92623231,-87.73341858
Cannabis,6,1168169,1852363,2011,41.75041611,-87.65932388
Crack,10,1154578,1893575,2006,41.86378886,-87.7080292
Cannabis,5,1178994,1836903,2003,41.70775239,-87.62012571
Cannabis,2,1177106,1867219,2014,41.79098581,-87.6261271
Cannabis,19,1167798,1930700,2013,41.96538757,-87.65842693
Cannabis,25,1137919,1914049,2002,41.9202888,-87.7686897
Cannabis,20,1157922,1939387,2009,41.98943284,-87.69450056
Heroin,11,1146811,1896171,2002,41.87106431,-87.73647544
Cocaine,8,1160815,1858821,2010,41.76829275,-87.6860944
Crack,3,1188180,1857086,2004,41.76292289,-87.58584475
Crack,25,1136803,1911484,2002,41.91327023,-87.77285175
Heroin,5,1176189,1841940,2006,41.72163791,-87.63024704
Cannabis,7,1166931,1856889,2003,41.7628626,-87.6637314
Crack,5,1178446,1837023,2002,41.70809412,-87.62212886
Cannabis,16,1143669,1925570,2007,41.95179768,-87.74727349
Cannabis,25,1151496,1907915,2002,41.90320039,-87.71896627
Heroin,11,1144993,1896611,2005,41.87230622,-87.74313894
Crack,5,1178418,1835799,2008,41.70473593,-87.62226841
Cannabis,11,1144487,1896833,2009,41.87292494,-87.74499112
Cannabis,8,1161013,1862810,2012,41.77923503,-87.68525845
Cocaine,8,1146280,1846860,2007,41.73575741,-87.73967537
Crack,2,1176406,1885545,2003,41.84128975,-87.62814236
Heroin,6,1176551,1844413,2004,41.72841602,-87.62884697
Cocaine,9,1165497,1872529,2002,41.80581125,-87.66854407
Cannabis,15,1138922,1899461,2012,41.88023938,-87.7653593
Heroin,15,1143289,1898790,2006,41.87831765,-87.74934071
Cocaine,10,1157506,1889255,2008,41.8518753,-87.69739808
Cannabis,10,,,2016,,
Heroin,2,1181045,1874175,2002,41.80998385,-87.61146961
Heroin,15,1142776,1905518,2004,41.89678965,-87.75105673
Cannabis,9,1160380,1877093,2008,41.81844251,-87.6871855
Cannabis,16,1134733,1928612,2014,41.96030822,-87.7800505
Heroin,11,1151107,1905077,2015,41.89542027,-87.72046962
Cannabis,25,1151579,1918018,2005,41.9309223,-87.71839529
Heroin,11,1154519,1907799,2009,41.90282213,-87.70786522
Crack,15,1144342,1898237,2014,41.87678042,-87.74548819
Crack,18,1171577,1908244,2007,41.90368486,-87.64519522
Crack,10,1151588,1892167,2001,41.85998438,-87.71904238
Cannabis,7,1167165,1860030,2011,41.77147691,-87.662784
Cannabis,14,1165456,1909950,2007,41.90849877,-87.66763034
Heroin,15,1143985,1902891,2006,41.88955826,-87.74668218
Cannabis,6,1183609,1852555,2007,41.75059714,-87.60273908
Cannabis,15,1142764,1899191,2014,41.87942783,-87.75125843
Cannabis,24,1162608,1949798,2002,42.01790369,-87.67697115
Cannabis,11,1152930,1896804,2013,41.87268238,-87.71399343
Crack,7,1174117,1859984,2014,41.77119912,-87.63730176
Cannabis,8,1161870,1861130,2002,41.77460712,-87.68216322
Cocaine,25,1147562,1918520,2006,41.93237794,-87.73314416
Cannabis,3,1181068,1860545,2011,41.77258137,-87.61180482
Cannabis,6,1183938,1852623,2007,41.75077607,-87.60153136
Crack,20,1168494,1932957,2006,41.97156577,-87.65580228
Crack,7,1164653,1860236,2006,41.77209558,-87.67198636
Heroin,7,1174527,1867887,2002,41.7928767,-87.63556377
Cannabis,10,1148828,1885511,2002,41.84177322,-87.72934553
Crack,2,1176244,1881289,2002,41.82961459,-87.62886493
Cannabis,25,1140834,1919109,2008,41.9341208,-87.75785452
Cannabis,24,1164844,1945260,2002,42.00540399,-87.66887276
Heroin,12,1166036,1894466,2011,41.86599713,-87.6659421
Cannabis,4,1201202,1833692,2014,41.69840761,-87.53890934
Crack,5,1178063,1836924,2003,41.70783112,-87.62353441
Cannabis,12,1162911,1890770,2001,41.85592105,-87.67751782
Cannabis,3,1179532,1855351,2012,41.75836371,-87.61759376
Cannabis,15,1143352,1900684,2009,41.88351384,-87.74906204
Cannabis,5,1177978,1834020,2011,41.69986407,-87.62393328
Heroin,25,1150151,1908115,2005,41.90377554,-87.72390155
Cannabis,11,1153223,1905475,2008,41.89647068,-87.71268744
Heroin,11,1157561,1895913,2007,41.87014443,-87.6970151
Crack,3,1179660,1863316,2004,41.78021757,-87.61688149
Heroin,3,1187519,1860867,2012,41.77331402,-87.58814733
Heroin,15,1143556,1905957,2001,41.89797975,-87.74818088
Crack,24,1164144,1948718,2002,42.01490769,-87.67134973
Cannabis,5,1176913,1821114,2009,41.66447204,-87.62821961
Crack,11,1149574,1905214,2005,41.89582612,-87.72609645
Cannabis,22,1173999,1840986,2010,41.7190688,-87.6382968
Crack,8,1150923,1857416,2017,41.76463574,-87.7223903
Crack,15,1139856,1903022,2004,41.8899942,-87.76184262
Cannabis,14,1154068,1909000,2001,41.90612679,-87.70948975
Cannabis,24,1163829,1951001,2013,42.02117896,-87.67244395
Heroin,15,1139636,1907460,2002,41.90217663,-87.76254214
Crack,2,1180510,1878106,2008,41.82078314,-87.61331108
Crack,5,1175482,1824510,2007,41.67382322,-87.6333555
Cannabis,19,1166920,1931342,2012,41.96716817,-87.66163662
Cannabis,3,1179093,1864384,2010,41.78316121,-87.61892765
Crack,15,1142189,1905682,2002,41.8972506,-87.75320864
Crack,12,1166249,1894140,2006,41.86509801,-87.66516947
Cannabis,15,1144321,1897907,2008,41.87587525,-87.74557359
